id,distrito_id,codigo,barrio
3712,325,10,Boca Ceiba
3713,325,11,Boca Río Sucio
3714,325,12,Bun
3715,325,13,Cabezas
3716,325,14,Canfín
3717,325,15,Caño Negro
3718,325,16,Cerro Negro (Parte)
3719,325,17,Colonia San José
3720,325,18,Coyol
3721,325,19,Cristo Rey
3722,325,20,Chilamate
3723,325,21,El Progreso
3724,325,22,Esperanza
3725,325,23,Estrellales
3726,325,24,Guaria
3727,325,25,Jardín
3728,325,26,Jormo
3729,325,27,Las Marías
3730,325,28,Las Orquídeas
3731,325,29,Los Lirios
3732,325,30,Malinche
3733,325,31,Media Vuelta
3734,325,32,Medias (parte)
3735,325,33,Muelle
3736,325,34,Naranjal
3737,325,35,Nogal
3738,325,36,Pavas
3739,325,37,Rojomaca
3740,325,38,San José
3741,325,39,San Julián
3742,325,40,Tres Rosales
3743,325,41,Vega de Sardinal (parte)
3744,325,42,Zapote.
3745,326,01,Ángeles
3746,326,02,Arbolitos (parte)
3747,326,03,Bajos de Chilamate
3748,326,04,Boca Sardinal
3749,326,05,Bosque
3750,326,06,Búfalo
3751,326,07,Delicias
3752,326,08,El Uno
3753,326,09,Esquipulas
3754,326,10,Las Palmitas
3755,326,11,Laquí
3756,326,12,Lomas
3757,326,13,Llano Grande
3758,326,14,Magsaysay
3759,326,15,Masaya
3760,326,16,Medias (parte)
3761,326,17,Pangola
3762,326,18,Pozo Azul
3763,326,19,Quebrada Grande
3764,326,20,Río Magdaleno
3765,326,21,Roble
3766,326,22,San Gerardo (parte)
3767,326,23,San Isidro
3768,326,24,San José Sur
3769,326,25,San Ramón
3770,326,26,La Delia
3771,326,27,Sardinal
3772,326,28,Tirimbina
3773,326,29,Vega de Sardinal (parte)
3774,326,30,Venados.
3775,327,01,Bambuzal
3776,327,02,Cerro Negro (parte)
3777,327,03,Colonia Bambú
3778,327,04,Colonia Colegio
3779,327,05,Colonia Esperanza
3780,327,06,Colonia Huetar
3781,327,07,Colonia Nazareth
3782,327,08,Colonia Victoria
3783,327,09,Colonia Villalobos
3784,327,10,Cubujuquí
3785,327,11,Chiripa
3786,327,12,Fátima
3787,327,13,Flaminia
3788,327,14,Finca Uno
3789,327,15,Finca Dos
3790,327,16,Finca Tres
3791,327,17,Finca Cinco
3792,327,18,Finca Agua
3793,327,19,Finca Zona Siete
3794,327,20,Finca Zona Ocho
3795,327,21,Finca Zona Diez
3796,327,22,Finca Zona Once
3797,327,23,Isla
3798,327,24,Isla Grande
3799,327,25,Isla Israel
3800,327,26,La Conquista
3801,327,27,La Chávez
3802,327,28,La Vuelta
3803,327,29,Rambla
3804,327,30,Pedernales
3805,327,31,Platanera
3806,327,32,Río Frío
3807,327,33,San Bernardino
3808,327,34,San Luis
3809,327,35,Santa Clara
3810,327,36,Tapa Viento
3811,327,37,Ticarí
3812,327,38,Tigre
3813,327,39,Villa Isabel
3814,327,40,Villa Nueva.
3815,328,01,Caño San Luis
3816,328,02,Chimurria
3817,328,03,Chirriposito
3818,328,04,Delta
3819,328,05,Gaspar
3820,328,06,Lagunilla
3821,328,07,La Lucha
3822,328,08,Tigra.
3823,329,01,Caño Tambor
3824,329,02,Copalchí
3825,329,03,Cureña
3826,329,04,Paloseco
3827,329,05,Remolinito
3828,329,06,Tambor
3829,329,07,Tierrabuena
3830,329,08,Trinidad
3831,329,09,Unión del Toro
3832,329,10,Vuelta Cabo de Hornos.
3833,330,01,Alaska
3834,330,02,Ángeles
3835,330,03,Buenos Aires
3836,330,04,Capulín
3837,330,05,Cerros
3838,330,06,Condega
3839,330,07,Corazón de Jesús
3840,330,08,Curime
3841,330,09,Choricera
3842,330,10,Chorotega
3843,330,11,Gallera
3844,330,12,Guaria
3845,330,13,Jícaro
3846,330,14,La Carreta
3847,330,15,Llano La Cruz
3848,330,16,Mocho (Santa Lucía)
3849,330,17,Moracia
3850,330,18,Nazareth
3851,330,19,Pueblo Nuevo
3852,330,20,Sabanero
3853,330,21,San Miguel
3854,330,22,San Roque
3855,330,23,Sitio
3856,330,24,Veinticinco de Julio
3857,330,25,Victoria
3858,330,26,Villanueva.
3859,330,27,Arena
3860,330,28,Caraña
3861,330,29,Isleta (parte)
3862,330,30,Juanilama
3863,330,31,Montañita
3864,330,32,Paso Tempisque (parte)
3865,330,33,Pelón de la Bajura
3866,330,34,Polvazales
3867,330,35,Roble de Sabana
3868,330,36,Rodeito
3869,330,37,Salto (parte)
3870,330,38,San Benito
3871,330,39,San Hernán
3872,330,40,San Lucas
3873,330,41,Santa Ana
3874,330,42,Terreros
3875,330,43,Zanjita.
3876,331,01,Alcántaro
3877,331,02,Buenavista
3878,331,03,Guayacán
3879,331,04,Pochote.
3880,331,05,Brisas
3881,331,06,Cedro
3882,331,07,Congo
3883,331,08,Cueva
3884,331,09,Fortuna
3885,331,10,Irigaray
3886,331,11,Lilas
3887,331,12,Pacayales
3888,331,13,Panamacito
3889,331,14,Pedregal
3890,331,15,Pital
3891,331,16,Pueblo Nuevo.
3892,332,01,Lourdes
3893,332,02,San Antonio.
3894,332,03,Ángeles
3895,332,04,Argentina
3896,332,05,Buenavista
3897,332,06,Consuelo.
3898,333,01,Bejuco
3899,333,02,Los Lagos
3900,333,03,Nacascolo
3901,333,04,Oratorio
3902,333,05,Puerto Culebra
3903,333,06,Triunfo.
3904,334,01,Gallo
3905,334,02,San Rafael.
3906,334,03,Colorado
3907,334,04,Curubandé
3908,334,05,Porvenir.
3909,335,01,Los Ángeles
3910,335,02,Barro Negro
3911,335,03,Cananga
3912,335,04,Carmen
3913,335,05,Chorotega
3914,335,06,Guadalupe
3915,335,07,Granja
3916,335,08,San Martín
